,center_id,center_name,address,zip_code
332,44015,리틀코코어린이집,"인천광역시 서구 원적로 95번길 5, 301동 102호(가좌동, 현대3차아파트)",22809
333,50192,한별영재학원,대구광역시 북구 칠곡중앙대로99길 45-21,41444
334,56322,써머비숲놀이학교,광주광역시 남구 봉선로19번길 27,61687
335,58412,통통어린이집,부산광역시 해운대구 대천로67번길 15,48083
336,65439,예인유치원,경상남도 거제시 중곡1로138,53246
337,65747,왕남초병설유치원,경기도 성남시 수정구 왕남로 24,13105
338,65825,사랑천사어린이집,서울특별시 도봉구 해등로 231,01430
339,68508,헬렌도론 시흥,경기도 시흥시 목감둘레로90 앙쥬맘베스트 4층 402호,14989
340,69249,우리아기어린이집,충청북도 음성군 대소면 대동로869번길 13-8,27675
341,76619,한소리유치원,경상남도 양산시 웅상대로 975,50548
342,76884,대흥초등학교병설유치원,충청남도 예산군 충청남도 예산군 대흥면 의좋은형제길 16,32450
343,77348,르블루아뜰리에미술교습소,서울특별시 강서구 내발산동 706-5,07692
344,78011,도그베이,경기도 남양주시 다산순환로 120,12248
345,84418,탄탄수학,경기도 고양시 일산서구 탄현로136 102동 304호,10248
346,1756,대일어린이집,서울특별시 광진구 광나루로 527 2층,04977
